id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
2JgPlDkLbdcRk5Jp3e7Pgm,Friday's Child,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],11,1,FALSE,0.545,0.689,6,-7.063,1,0.0394,0.0998,0.13,0.116,0.796,164.003,540933,4,2003,12/1/2003
1dVT2CbuH0j9rKco5dvkLI,Love Loves You Too,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],9,1,FALSE,0.613,0.294,4,-13.13,1,0.0311,0.811,0.0243,0.108,0.174,81.959,253933,4,1994,3/1/1994
3bM7rvHfGmCxRPOiPE177Y,Sunrise On The Mississippi,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],10,1,FALSE,0.568,0.307,0,-13.334,1,0.0428,0.877,0.898,0.265,0.76,142.663,181133,4,1994,3/1/1994
2IHBrlBh7aurAatdXG2yTb,Closer to the Light,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],11,1,FALSE,0.536,0.219,11,-18.2,0,0.03,0.34,0.0362,0.123,0.306,143.576,250333,3,1994,3/1/1994
7rrMXOKZNmoO10wgvwNj5H,Tie Me At The Crossroads,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],12,1,FALSE,0.586,0.742,9,-6.884,1,0.0493,0.023,8.77E-06,0.0697,0.968,170.009,170507,4,1994,3/1/1994
6LiqMOJNu3pMKO6M1cTsgA,Amber Waves,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],1,1,FALSE,0.576,0.494,9,-9.917,1,0.0262,0.898,0.00443,0.139,0.437,100,219400,4,2002,10/28/2002
5qGqSVrQC55BPAKhJj5Ftv,Your Cloud,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],10,1,FALSE,0.591,0.299,6,-14.459,1,0.0287,0.847,0.0455,0.106,0.149,113.019,270680,4,2002,10/28/2002
3UkYhZrL4RrjQbxxth6uQ0,Pancake,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],11,1,FALSE,0.592,0.55,2,-9.097,0,0.0284,0.8,0.00364,0.114,0.573,133.952,234827,4,2002,10/28/2002
0AByf8LXqfnKa1UW7kbxsr,I Can't See New York,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],12,1,FALSE,0.459,0.401,5,-11.675,0,0.0271,0.876,0.0941,0.0762,0.18,101.636,434907,4,2002,10/28/2002
1ymMLSCjjk9tuVC0ZhfmBh,mrs. jesus,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],13,1,FALSE,0.485,0.295,9,-12.633,1,0.0324,0.921,0.0283,0.177,0.223,123.168,185253,4,2002,10/28/2002
5p8pLI3XwrwiIdxdw2Rlgd,Taxi Ride,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],14,1,FALSE,0.55,0.663,8,-7.587,1,0.0359,0.353,0.0141,0.13,0.642,166.008,240333,4,2002,10/28/2002
2tu3GBzpVQfD8gtYsIm2o5,Another Girl's Paradise,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],15,1,FALSE,0.618,0.415,0,-10.983,1,0.0307,0.714,0.00156,0.142,0.241,123.099,214613,4,2002,10/28/2002
4lDMOr82Ks0qcXSe9hp4f0,Scarlet's Walk,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],16,1,FALSE,0.444,0.392,3,-12.271,0,0.0273,0.963,0.0561,0.106,0.327,81.531,256853,4,2002,10/28/2002
1MjpQ68nD7GhX2GusCyPD5,Virginia,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],17,1,FALSE,0.457,0.49,6,-10.096,0,0.0273,0.87,0.161,0.136,0.229,140.972,235147,3,2002,10/28/2002
0UxGJ0eyqOdcPrOWCNJtmp,Gold Dust,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],18,1,FALSE,0.276,0.224,3,-11.98,0,0.0352,0.923,0.00425,0.102,0.261,127.688,356147,4,2002,10/28/2002
6RovFMOG0avksTizHRlbUi,Rosaryville,Rosaryville,747XdfKqkymjuvap8Lm1Hv,['Kate Campbell'],['1NZA6DefBtQo2PgcmBtnTg'],1,1,FALSE,0.729,0.587,5,-7.853,1,0.0276,0.336,1.53E-06,0.0668,0.636,129.833,269507,4,1999,7/20/1999
1PnJ0wTwdDQ2oTMlhLg3Ab,Porcelain Blue,Rosaryville,747XdfKqkymjuvap8Lm1Hv,['Kate Campbell'],['1NZA6DefBtQo2PgcmBtnTg'],2,1,FALSE,0.778,0.529,9,-9.579,0,0.0358,0.775,0.000431,0.111,0.704,131.983,224253,4,1999,7/20/1999
399Y2XppdMAIHU0eWjw0u3,Waste of Mind,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],5,1,FALSE,0.602,0.911,9,-6.232,1,0.0521,6.32E-05,0.00233,0.0514,0.848,120.178,212400,4,1998,10/1/1998
2GtvF6M8PbpuWRvfdq5BK3,Feel This Way,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],6,1,FALSE,0.564,0.947,9,-6.109,1,0.0905,0.00157,0,0.0955,0.703,111.034,224227,4,1998,10/1/1998
32DdumVsgJrE6JWjZQPZQ0,Walk Away,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],7,1,FALSE,0.574,0.95,9,-6.449,1,0.203,0.000795,2.62E-05,0.123,0.856,123.812,202467,4,1998,10/1/1998
5XtlUa7sa0GqmrBMcqpNG3,Big Shot,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],8,1,FALSE,0.564,0.96,7,-7.086,1,0.0893,0.00156,6.09E-06,0.0958,0.473,128.511,179600,4,1998,10/1/1998
4piMTKQtY9yMu11VowfZ1E,Swing,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],9,1,FALSE,0.658,0.917,11,-8.034,0,0.0856,8.11E-05,9.47E-05,0.482,0.713,120.783,170293,4,1998,10/1/1998
2GqczyjNgDuRm1ckhrhQCR,Jag Off,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],10,1,FALSE,0.646,0.896,6,-6.53,0,0.0576,0.00504,2.54E-05,0.122,0.854,100.953,205133,4,1998,10/1/1998
